est_total_pop_u18,est_total_pop_u18_in_households,est_total_pop_u18_in_households_5yrs,est_total_pop_u18_in_households_6to8yrs,total_pop,est_total_household_income,est_total_household_income_u10k,est_total_household_income_10to15k,est_total_household_income_15to20k,est_total_household_income_20to25k,est_total_household_income_25to30k,est_total_household_income_30to35k,est_total_household_income_35to40k,est_total_household_income_40to45k,est_total_household_income_45to50k,est_total_household_income_50to60k,est_total_household_income_60to75k,est_total_household_income_75to100k,est_total_household_income_100to125k,est_total_household_income_125to150k,est_total_household_income_150to200k,est_total_household_income_200kplus,state,county,tract,GEOID
141,141,11,15,2566,1551,208,12,20,70,68,87,75,0,31,133,139,242,85,78,188,115,42,003,070800,42003070800
369,369,10,0,2621,1212,65,37,70,8,15,65,54,66,50,146,121,184,113,57,100,61,42,003,101800,42003101800
543,538,7,55,3973,1979,99,43,40,112,120,46,232,34,56,119,176,299,75,57,241,230,42,003,110200,42003110200
268,268,63,0,402,130,0,30,56,15,17,4,0,8,0,0,0,0,0,0,0,0,42,003,051100,42003051100
557,556,35,102,3083,1483,54,19,81,69,72,150,81,36,72,56,209,161,176,156,54,37,42,003,101400,42003101400
427,427,16,56,2098,830,63,107,106,100,35,22,25,22,15,91,31,29,93,25,23,43,42,003,120300,42003120300
217,217,0,42,3011,1861,256,242,108,58,38,68,11,32,10,121,62,224,167,160,156,148,42,003,160900,42003160900
642,641,31,43,3152,1459,81,33,53,12,49,82,15,43,32,85,105,157,219,129,121,243,42,003,140600,42003140600
209,209,20,76,1922,996,84,98,35,37,84,44,74,46,35,86,141,69,71,16,43,33,42,003,191500,42003191500
221,221,18,13,2326,1307,89,89,33,83,108,74,44,51,27,100,53,146,156,111,64,79,42,003,240600,42003240600
743,724,0,146,2779,1107,15,60,31,56,35,38,23,58,61,169,175,137,43,65,84,57,42,003,270100,42003270100
52,52,0,10,933,453,17,29,30,20,15,52,13,25,12,39,45,74,22,25,18,17,42,003,270400,42003270400
254,254,9,12,1620,842,95,89,128,74,20,38,30,11,56,73,88,32,60,30,18,0,42,003,515300,42003515300
228,228,0,44,1653,942,183,130,92,47,9,38,44,36,16,72,62,83,33,35,58,4,42,003,517000,42003517000
497,497,32,60,3168,1510,44,57,81,44,44,85,71,61,49,146,172,151,218,116,125,46,42,003,520001,42003520001
619,619,29,76,3666,1448,25,47,33,5,21,43,43,28,50,37,185,124,301,178,193,135,42,003,521402,42003521402
756,756,74,78,3932,1642,55,6,73,78,98,93,89,104,37,181,221,290,107,105,72,33,42,003,523300,42003523300
895,895,57,195,4724,2042,59,162,44,61,67,122,84,39,62,297,253,299,214,175,22,82,42,003,523600,42003523600
870,870,64,144,3865,1541,0,9,35,36,55,62,60,82,28,122,171,269,293,119,99,101,42,003,526201,42003526201
1097,1086,62,123,4731,1927,29,113,75,120,91,112,62,34,86,141,170,354,221,166,153,0,42,003,526202,42003526202
920,920,74,172,5070,2176,40,0,62,74,168,84,40,40,72,186,329,400,247,289,78,67,42,003,526302,42003526302
854,854,66,41,4413,2231,113,289,175,163,239,188,139,108,154,113,203,229,60,51,0,7,42,003,403500,42003403500
999,997,31,193,5554,2433,62,36,140,138,96,106,152,92,153,208,245,343,290,120,124,128,42,003,407001,42003407001
3861,3860,190,485,13118,4530,86,27,0,77,28,55,111,0,99,190,299,428,435,378,457,1860,42,003,409000,42003409000
21,18,0,0,1871,1181,315,14,46,75,82,73,27,48,21,53,83,109,101,23,41,70,42,003,040400,42003040400
266,266,18,57,1491,657,49,23,31,26,55,64,19,82,18,39,71,92,14,53,21,0,42,003,523502,42003523502
493,493,0,185,1487,614,107,76,91,19,32,54,20,70,16,41,37,18,19,0,14,0,42,003,561200,42003561200
295,295,16,37,1439,663,61,40,53,44,50,29,54,23,23,78,51,69,37,29,8,14,42,003,494000,42003494000
529,529,0,80,3303,1473,32,77,48,93,102,85,36,81,48,100,264,175,98,140,38,56,42,003,495000,42003495000
221,221,24,40,2746,1456,82,52,83,43,36,113,28,53,89,64,173,238,131,83,115,73,42,003,090200,42003090200
339,339,39,19,1348,828,301,106,105,68,89,19,21,33,10,7,25,23,0,6,0,15,42,003,050900,42003050900
314,314,28,75,1606,862,56,71,96,91,37,50,34,42,73,79,46,90,52,11,20,14,42,003,420000,42003420000
819,819,28,74,3829,1825,34,21,91,70,114,124,106,99,49,111,149,161,74,88,209,325,42,003,445500,42003445500
419,419,17,34,1602,594,3,10,14,25,15,4,30,14,21,52,76,64,66,36,78,86,42,003,447000,42003447000
915,821,67,146,5965,2890,78,19,178,64,137,115,89,63,107,228,133,593,298,214,341,233,42,003,459201,42003459201
880,879,69,129,4547,2045,74,14,51,39,30,56,71,81,61,272,132,358,438,188,120,60,42,003,460001,42003460001
630,630,34,113,3237,1516,54,134,88,77,54,47,40,86,43,178,125,263,136,121,52,18,42,003,464300,42003464300
475,475,0,62,2681,1276,41,50,130,98,74,83,69,35,36,68,103,224,147,69,26,23,42,003,468800,42003468800
589,589,26,114,3678,1930,111,91,154,171,83,63,59,120,110,185,193,325,115,46,47,57,42,003,468900,42003468900
435,435,16,71,2576,1158,41,25,34,62,95,80,57,34,40,26,165,196,120,97,57,29,42,003,151600,42003151600
284,284,15,24,3806,1924,100,29,61,50,126,67,108,64,107,164,255,315,241,119,38,80,42,003,202300,42003202300
236,236,9,23,2237,1175,102,129,67,17,87,7,57,8,49,58,159,194,82,54,62,43,42,003,270800,42003270800
270,270,10,30,1225,486,19,0,6,3,0,12,20,4,4,15,47,78,50,63,47,118,42,003,410000,42003410000
1108,1108,33,158,4526,1723,22,42,32,29,40,81,22,43,34,119,163,230,197,234,213,222,42,003,413400,42003413400
238,238,0,56,1285,656,82,32,43,59,43,25,30,19,38,39,92,64,61,4,7,18,42,003,417200,42003417200
908,908,21,157,4277,1745,56,60,18,28,57,20,56,47,47,90,136,300,221,120,200,289,42,003,421200,42003421200
297,297,45,51,2301,1137,10,27,43,42,42,58,112,29,33,89,194,159,144,74,53,28,42,003,426700,42003426700
1028,1028,52,92,5453,2155,41,36,34,99,59,33,47,46,119,163,299,212,308,264,284,111,42,003,426800,42003426800
