est_total_pop_u18,est_total_pop_u18_in_households,est_total_pop_u18_in_households_5yrs,est_total_pop_u18_in_households_6to8yrs,total_pop,est_total_household_income,est_total_household_income_u10k,est_total_household_income_10to15k,est_total_household_income_15to20k,est_total_household_income_20to25k,est_total_household_income_25to30k,est_total_household_income_30to35k,est_total_household_income_35to40k,est_total_household_income_40to45k,est_total_household_income_45to50k,est_total_household_income_50to60k,est_total_household_income_60to75k,est_total_household_income_75to100k,est_total_household_income_100to125k,est_total_household_income_125to150k,est_total_household_income_150to200k,est_total_household_income_200kplus,state,county,tract,GEOID,below60k,below60asperc
360,360,31,39,1746,780,59,9,65,85,43,29,16,76,40,94,79,110,20,37,18,0,42,3,499300,42003499300,516,0.6615384615384615
165,161,25,43,601,268,50,13,47,28,33,20,21,3,4,4,14,9,13,0,9,0,42,3,250700,42003250700,223,0.832089552238806
428,428,13,118,3068,1751,125,133,72,97,75,128,81,33,92,233,196,239,112,36,47,52,42,3,431100,42003431100,1069,0.6105082809822958
202,202,3,45,1271,638,30,25,41,65,32,65,23,7,24,78,86,78,25,25,25,9,42,3,471000,42003471000,390,0.6112852664576802
832,832,24,81,3985,1827,93,133,69,97,78,93,28,158,130,93,228,205,183,122,87,30,42,3,478100,42003478100,972,0.5320197044334976
984,984,55,95,5898,2735,87,125,85,85,253,153,196,141,86,201,281,481,193,180,87,101,42,3,503002,42003503002,1412,0.5162705667276051
894,878,54,154,4827,2177,142,74,61,54,87,171,55,220,93,274,211,317,199,110,97,12,42,3,490002,42003490002,1231,0.5654570509875976
910,900,88,160,5874,2684,158,73,89,133,172,193,101,199,153,147,279,366,216,175,110,120,42,3,564400,42003564400,1418,0.5283159463487332
0,0,0,0,16,16,5,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,42,3,980500,42003980500,16,1.0
447,447,63,110,2625,1253,59,103,48,159,138,61,129,8,59,111,83,157,102,20,16,0,42,3,499400,42003499400,875,0.6983240223463687
458,458,54,52,2090,957,138,54,107,34,79,15,40,53,33,81,95,110,71,6,24,17,42,3,561600,42003561600,634,0.6624869383490073
222,222,44,9,802,289,0,13,38,10,18,39,15,12,4,35,29,41,10,2,3,20,42,3,561700,42003561700,184,0.6366782006920415
41,41,0,0,2858,1936,613,196,83,185,140,145,134,44,41,121,69,26,42,34,17,46,42,3,562000,42003562000,1702,0.8791322314049587
393,393,99,32,2914,1301,368,196,86,69,47,36,50,0,24,29,98,156,41,77,15,9,42,3,562300,42003562300,905,0.6956187548039969
782,782,0,118,2723,1201,108,70,135,95,76,128,56,41,64,40,117,199,22,13,14,23,42,3,562400,42003562400,813,0.6769358867610324
251,251,17,79,1528,749,68,61,74,72,10,21,17,48,43,63,81,83,53,22,29,4,42,3,562800,42003562800,477,0.636849132176235
428,428,0,105,1813,770,54,22,115,41,48,26,86,20,71,77,58,74,26,36,12,4,42,3,562900,42003562900,560,0.7272727272727273
104,87,8,0,1877,1296,165,170,32,64,63,67,40,50,30,131,158,156,68,48,36,18,42,3,562700,42003562700,812,0.6265432098765432
776,776,12,131,3355,1432,214,76,54,99,50,188,97,93,30,129,118,191,46,0,35,12,42,3,462600,42003462600,1030,0.7192737430167597
964,964,61,235,5134,2457,83,56,91,78,83,131,105,204,153,364,276,437,219,62,98,17,42,3,476100,42003476100,1348,0.5486365486365486
764,764,22,178,3170,1359,227,102,138,192,95,64,43,14,90,122,72,76,47,11,41,25,42,3,483800,42003483800,1087,0.7998528329654158
476,476,53,57,1866,736,106,83,55,87,39,54,49,23,42,55,42,17,10,74,0,0,42,3,550900,42003550900,593,0.8057065217391305
1121,1121,15,152,4195,1740,108,94,71,69,69,187,67,76,63,199,214,189,141,57,91,45,42,3,523200,42003523200,1003,0.5764367816091954
391,391,68,87,1500,457,64,71,176,7,40,33,2,0,15,30,11,8,0,0,0,0,42,3,552100,42003552100,438,0.9584245076586433
619,619,58,59,1698,574,119,139,76,84,28,0,40,17,8,16,12,35,0,0,0,0,42,3,260900,42003260900,527,0.9181184668989547
86,86,6,8,721,386,67,21,29,34,9,17,22,37,4,32,50,34,19,11,0,0,42,3,241200,42003241200,272,0.7046632124352331
211,207,0,79,1154,572,94,12,44,7,32,47,15,9,21,27,23,68,55,35,48,35,42,3,250300,42003250300,308,0.5384615384615384
118,118,15,19,1026,592,97,61,51,52,138,8,39,8,23,17,10,40,20,21,0,7,42,3,250900,42003250900,494,0.8344594594594594
385,385,19,69,2041,942,26,8,30,71,26,91,28,44,47,120,98,150,114,55,27,7,42,3,417100,42003417100,491,0.5212314225053079
650,650,30,150,3524,1676,0,56,103,101,148,72,77,64,88,140,301,252,135,65,53,21,42,3,563100,42003563100,849,0.5065632458233891
644,644,60,33,2417,1085,181,94,136,80,120,76,106,142,22,20,40,7,41,0,0,20,42,3,562500,42003562500,977,0.9004608294930876
664,664,0,129,2520,1056,78,83,57,52,99,19,91,25,43,60,166,127,77,13,48,18,42,3,562600,42003562600,607,0.5748106060606061
110,110,0,20,2088,1447,214,128,69,115,50,101,47,52,10,108,111,153,84,53,72,80,42,3,563200,42003563200,894,0.61782999308915
670,670,52,170,4004,1928,72,63,57,110,86,97,116,172,116,154,169,291,166,86,107,66,42,3,563900,42003563900,1043,0.5409751037344398
273,273,31,25,2109,1026,108,75,39,65,79,108,144,77,6,46,131,76,27,26,19,0,42,3,492900,42003492900,747,0.7280701754385965
488,488,103,18,2769,1303,208,90,18,110,94,20,48,93,35,134,183,175,66,21,3,5,42,3,515100,42003515100,850,0.6523407521105142
688,628,21,79,3381,1718,342,260,103,139,62,148,59,25,97,104,114,175,59,12,19,0,42,3,551200,42003551200,1339,0.7793946449359721
450,450,17,50,1701,816,85,124,69,81,26,59,36,33,20,100,23,96,27,0,20,17,42,3,552300,42003552300,633,0.7757352941176471
18,17,0,0,837,594,178,108,43,38,6,22,77,21,27,11,36,9,11,7,0,0,42,3,560600,42003560600,531,0.8939393939393939
